value,full_text,display_text,selected
5_1,SEFAZ AL 21 Auditor de Finanças e Controle,SEFAZ AL 2... Auditor de Finanças e Controle,False
5_2,SEFAZ AL 21 Auditor Fiscal da Receita Estadual,SEFAZ AL 2... Auditor Fiscal da Receita Estadual,False
98_1,SEFAZ AM 22 Ana da Fazenda Estadual,SEFAZ AM 2... Ana da Fazenda Estadual,False
99_1,SEFAZ AM 22 Assistente Administrativo da Fazenda Estadual,SEFAZ AM 2... Assistente Administrativo da Fazenda Estadual,False
97_1,SEFAZ AM 22 AUDITOR DE FINANÇAS E CONTROLE DO TESOURO ESTADUAL,SEFAZ AM 2... AUDITOR DE FINANÇAS E CONTROLE DO TESOURO ESTADUAL,False
97_5,SEFAZ AM 22 AUDITOR FISCAL DE TRIBUTOS ESTADUAIS,SEFAZ AM 2... AUDITOR FISCAL DE TRIBUTOS ESTADUAIS,False
98_2,SEFAZ AM 22 Controlador de Arrecadação da Receita Estadual,SEFAZ AM 2... Controlador de Arrecadação da Receita Estadual,False
97_2,SEFAZ AM 22 GESTOR DE TECNOLOGIA DA INFORMAÇÃO,SEFAZ AM 2... GESTOR DE TECNOLOGIA DA INFORMAÇÃO,False
97_3,SEFAZ AM 22 TEC ADMINISTRATIVO,SEFAZ AM 2... TEC ADMINISTRATIVO,False
114_1,SEFAZ AP Auditor da Receita Estadual,SEFAZ AP Auditor da Receita Estadual,False
114_2,SEFAZ AP Fiscal da Receita Estadual,SEFAZ AP Fiscal da Receita Estadual,False
25_3,SEFAZ BA 19 AUDITOR FISCAL / ADMINISTRAÇÃO TRIBUTÁRIA,SEFAZ BA 1... AUDITOR FISCAL / ADMINISTRAÇÃO TRIBUTÁRIA,False
25_1,"SEFAZ BA 19 AUDITOR FISCAL / ADMINISTRAÇÃO, FINANÇAS E CONTROLE INTERNO","SEFAZ BA 1... AUDITOR FISCAL / ADMINISTRAÇÃO, FINANÇAS E CONTROLE INTERNO",False
25_2,SEFAZ BA 19 Auditor Fiscal Tecnologia da Informação,SEFAZ BA 1... Auditor Fiscal Tecnologia da Informação,False
95_1,SEFAZ BA 22 Agente de Tributos / Administração,SEFAZ BA 2... Agente de Tributos / Administração,False
95_3,SEFAZ BA 22 AGENTE DE TRIBUTOS / ADMINISTRAÇÃO TRIBUTÁRIA,SEFAZ BA 2... AGENTE DE TRIBUTOS / ADMINISTRAÇÃO TRIBUTÁRIA,False
95_2,SEFAZ BA 22 Agente de Tributos / Tecnologia da Informação,SEFAZ BA 2... Agente de Tributos / Tecnologia da Informação,False
2_2,SEFAZ CE Auditor Fiscal Contábil/Financeiro,SEFAZ CE Auditor Fiscal Contábil/Financeiro,False
2_1,SEFAZ CE Auditor Fiscal da Receita Estadual,SEFAZ CE Auditor Fiscal da Receita Estadual,False
2_4,SEFAZ CE Auditor Fiscal de Tecnologia da Informação,SEFAZ CE Auditor Fiscal de Tecnologia da Informação,False
2_3,SEFAZ CE Auditor Fiscal Jurídico,SEFAZ CE Auditor Fiscal Jurídico,False
7_1,SEFAZ DF Auditor Fiscal da Receita Estadual do DF,SEFAZ DF Auditor Fiscal da Receita Estadual do DF,False
4_1,SEFAZ ES Auditor Fiscal da Receita Estadual,SEFAZ ES Auditor Fiscal da Receita Estadual,False
86_2,SEFAZ ES Consultor Ciências da Computação,SEFAZ ES C... Ciências da Computação,False
86_1,SEFAZ ES Consultor CIÊNCIAS ECONÔMICAS,SEFAZ ES C... CIÊNCIAS ECONÔMICAS,False
9_1,SEFAZ GO Auditor Fiscal da Receita Estadual,SEFAZ GO Auditor Fiscal da Receita Estadual,False
10_1,SEFAZ MA Auditor Fiscal da Receita Estadual,SEFAZ MA Auditor Fiscal da Receita Estadual,False
10_2,SEFAZ MA Tec da Receita Estadual – Arrecadação e Fiscalização de Mercadorias em Trânsito,SEFAZ MA Tec da Receita Estadual – Arrecadação e Fiscalização de Mercadorias em Trânsito,False
10_3,SEFAZ MA Tec da Receita Estadual – Tecnologia da Informação,SEFAZ MA Tec da Receita Estadual – Tecnologia da Informação,False
108_1,SEFAZ MG Auditoria e Fiscalização,SEFAZ MG Auditoria e Fiscalização,False
108_3,SEFAZ MG Tecnologia da Informação,SEFAZ MG Tecnologia da Informação,False
108_2,SEFAZ MG Tributação,SEFAZ MG Tributação,False
180_1,SEFAZ MT Fiscal de Tributos Estaduais (FTE),SEFAZ MT Fiscal de Tributos Estaduais (FTE),False
145_1,SEFAZ PE Auditor Fiscal do Tesouro Estadual,SEFAZ PE Auditor Fiscal do Tesouro Estadual,False
106_2,SEFAZ PE Apoio Ana Administrativo de Ap as Atividades Fazendárias,SEFAZ PE A... Ana Administrativo de Ap as Atividades Fazendárias,False
106_1,SEFAZ PE Apoio Assistente Administrativo de Ap as Atividades Fazendárias,SEFAZ PE A... Assistente Administrativo de Ap as Atividades Fazendárias,False
614_1,SEFAZ PI 25 A 01 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC GERAL,SEFAZ PI 2... A 01 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC GERAL,False
614_2,SEFAZ PI 25 B 02 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC TEC INFORM,SEFAZ PI 2... B 02 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC TEC INFORM,False
