value,full_text,display_text,selected
14_1,SEFAZ RS 18 Auditor/Fiscal da Receita Estadual,SEFAZ RS 1... Auditor/Fiscal da Receita Estadual,false
29_2,SEFAZ RS TEC 18 Tec Tributário da Receita Estadual,SEFAZ RS T... Tec Tributário da Receita Estadual,false
8_1,SEFAZ SC 18 Auditor Fiscal da Receita Estadual,SEFAZ SC 1... Auditor Fiscal da Receita Estadual,false
8_3,SEFAZ SC 18 Auditor Fiscal da Receita Estadual Gestão Tributária,SEFAZ SC 1... Auditor Fiscal da Receita Estadual Gestão Tributária,false
8_2,SEFAZ SC 18 Auditor Fiscal da Receita Estadual TI,SEFAZ SC 1... Auditor Fiscal da Receita Estadual TI,false
65_1,SEFAZ SC 21 Ana da Receita Estadual IV,SEFAZ SC 2... Ana da Receita Estadual IV,false
72_1,SEFAZ SE Auditor Tributário,SEFAZ SE Auditor Tributário,false
640_1,SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – GERAL,SEFAZ SE 2... AUDITOR FISCAL TRIBUTÁRIO – GERAL,false
640_2,SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – TECNOLOGIA DA INFORMAÇÃO,SEFAZ SE 2... AUDITOR FISCAL TRIBUTÁRIO – TECNOLOGIA DA INFORMAÇÃO,false
640_3,SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – TRIBUTAÇÃO,SEFAZ SE 2... AUDITOR FISCAL TRIBUTÁRIO – TRIBUTAÇÃO,false
648_1,SEFAZ SP 13 AGENTE FISCAL DE RENDAS GESTÃO TRIBUTÁRIA,SEFAZ SP 1... AGENTE FISCAL DE RENDAS GESTÃO TRIBUTÁRIA,false
648_2,SEFAZ SP 13 AGENTE FISCAL DE RENDAS TECNOLOGIA DA INFORMAÇÃO,SEFAZ SP 1... AGENTE FISCAL DE RENDAS TECNOLOGIA DA INFORMAÇÃO,false
730_1,SEFAZ SP 2025 A AUD FISCAL REC ESTADUAL GESTÃO TRIBUTÁRIA,SEFAZ SP 2... A AUD FISCAL REC ESTADUAL GESTÃO TRIBUTÁRIA,false
730_2,SEFAZ SP 2025 B AUD FISCAL REC ESTADUAL TI E COMUNICAÇÃO,SEFAZ SP 2... B AUD FISCAL REC ESTADUAL TI E COMUNICAÇÃO,false
