contest_name,contest_value,source_url,page_title,fetched_at,candidates_count,named_count,inside_vacancies_count
ISS Uberaba AUDITOR FISCAL DA RECEITA MUNICIPAL/AUDITOR FISCAL DA RECEITA MUNICIPAL,487_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=487_1&tV=0,Ranking dos Concursos,2026-04-20T15:36:46.414Z,24,0,0
ISS Uberlandia Auditor Fiscal Tributário,37_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=37_1&tV=0,Ranking dos Concursos,2026-04-20T15:37:49.247Z,731,2,10
ISS Uberlândia 25 AUDITOR FISCAL TRIBUTÁRIO,650_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=650_1&tV=0,Ranking dos Concursos,2026-04-20T15:38:53.075Z,684,0,0
ISS Valinhos Auditor Fiscal,276_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=276_1&tV=0,Ranking dos Concursos,2026-04-20T15:39:07.968Z,136,0,1
ISS Varginha AGENTE FISCAL,720_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=720_1&tV=0,Ranking dos Concursos,2026-04-20T15:40:11.270Z,726,0,0
ISS Varginha AUDITOR FISCAL TRIBUTÁRIO,720_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=720_2&tV=0,Ranking dos Concursos,2026-04-20T15:41:02.283Z,570,0,0
RFB Ana,176_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=176_2&tV=0,Ranking dos Concursos,2026-04-20T15:42:06.659Z,672,2,351
RFB Auditor,176_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=176_1&tV=0,Ranking dos Concursos,2026-04-20T15:43:09.730Z,708,3,172
RFB 09 Auditor Fiscal,436_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=436_1&tV=0,Ranking dos Concursos,2026-04-20T15:44:12.971Z,690,0,264
RFB 14 Auditor Fiscal,435_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=435_1&tV=0,Ranking dos Concursos,2026-04-20T15:45:11.482Z,552,0,264
SEFA PA Auditor Fiscal de Receitas Estaduais,70_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=70_1&tV=0,Ranking dos Concursos,2026-04-20T15:45:13.446Z,150,150,38
SEFA PA Fiscal de Receitas Estaduais,70_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=70_2&tV=0,Ranking dos Concursos,2026-04-20T15:45:19.559Z,50,0,10
SEFAZ AC Auditor da Receita Estadual,277_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=277_1&tV=0,Ranking dos Concursos,2026-04-20T15:46:08.104Z,517,1,45
SEFAZ AC Contador,277_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=277_2&tV=0,Ranking dos Concursos,2026-04-20T15:46:11.856Z,21,0,8
SEFAZ AC Especialista da Fazenda Estadual,277_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=277_3&tV=0,Ranking dos Concursos,2026-04-20T15:46:47.788Z,373,1,44
SEFAZ AC Tec da Fazenda Estadua,277_4,https://www.rankingdosconcursos.com.br/?tC=2&sCa=277_4&tV=0,Ranking dos Concursos,2026-04-20T15:47:38.783Z,1000,501,57
SEFAZ AL 19 Auditor de Finanças e Controle,1_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=1_1&tV=0,Ranking dos Concursos,2026-04-20T15:47:43.416Z,25,0,20
SEFAZ AL 19 Auditor Fiscal da Receita Estadual,1_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=1_2&tV=0,Ranking dos Concursos,2026-04-20T15:48:02.885Z,173,0,48
SEFAZ AL 21 Auditor de Finanças e Controle,5_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=5_1&tV=0,Ranking dos Concursos,2026-04-20T15:48:06.628Z,30,10,8
SEFAZ AL 21 Auditor Fiscal da Receita Estadual,5_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=5_2&tV=0,Ranking dos Concursos,2026-04-20T15:48:16.348Z,77,0,20
SEFAZ AM 22 Ana da Fazenda Estadual,98_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=98_1&tV=0,Ranking dos Concursos,2026-04-20T15:48:32.103Z,135,0,28
SEFAZ AM 22 Assistente Administrativo da Fazenda Estadual,99_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=99_1&tV=0,Ranking dos Concursos,2026-04-20T15:49:32.002Z,1000,438,40
SEFAZ AM 22 AUDITOR DE FINANÇAS E CONTROLE DO TESOURO ESTADUAL,97_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=97_1&tV=0,Ranking dos Concursos,2026-04-20T15:49:49.627Z,143,0,0
